target,technology,iso3,year,observed,procurement,B_fit,B_anchor,beta_B,model_factual,capacity_weight,observation_rule,observed_completed,P,S,T,K,E,net,total_decline,remainder,model_without_source_contribution,net_pct
USA,wind,ESP,2024,1398.8328190572436,704.3477312453125,573.8383489698434,694.4850878119311,-0.5083763749600175,1278.186080215156,1315.7700000000004,reported,1398.8328190572436,0.20966913552723812,0.07935740972274488,-0.005095423634614763,4.02882984094379,0.0,4.3127609625591585,1518.4988305827058,1514.1860696201466,1282.4988411777151,0.2840147700939742
USA,wind,FRA,2024,1860.4830152221043,685.4288185538267,1263.9149417494928,1175.0541966682777,0.2520769073090383,1949.3437603033194,1137.119999999999,reported,1860.4830152221043,0.4383613742771936,0.10343739233386884,-0.010614064334017164,8.935099688095498,0.0,9.466284390372543,1089.5794531686884,1080.1131687783159,1958.810044693692,0.868801661305463
USA,wind,GBR,2024,1925.620884875948,796.6747553890772,996.3099561546004,1128.9461294868706,-0.1000586056861678,1792.9847115436776,812.0999999999985,reported,1925.620884875948,0.7631424347180944,-0.003241131202109643,0.017605692701860305,14.467458595660544,0.0,15.244965591878389,721.0565960692702,705.8116304773918,1808.229677135556,2.1142536764775453
USA,wind,IND,2024,1110.269638408882,546.3302395020477,513.1751035293131,563.9393989068343,0.177335392834262,1059.5053430313608,3426.920000000005,reported,1110.269638408882,1.515385278684017,1.2598101416006515,0.0,2.1982965317741807,0.0,4.973491952058849,497.0171557991782,492.0436638471194,1064.4788349834196,1.0006680642767205
USA,wind,ITA,2024,1408.131747785429,653.9514921438822,919.1675354713697,754.1802556415469,-0.361943176041216,1573.119027615252,652.8600000000006,reported,1408.131747785429,4.989985971114816,2.5613805686113014,-0.122022736707706,1.2001553287368563,0.0,8.629499131755269,1634.4450235538238,1625.8155244220686,1581.7485267470072,0.5279773260890651
USA,wind,POL,2024,1838.4745885101927,709.5172117566439,1028.9695983304487,1128.957376753549,-0.1006582916667672,1738.4868100870926,808.4300000000003,reported,1838.4745885101927,0.02716547994146726,0.004667836153888594,-0.0006500104010074306,8.904273141961953,0.0,8.935456447656302,1291.3669738725714,1282.431517424915,1747.422266534749,0.6919378169367701
USA,wind,SWE,2024,1772.9311285129593,643.5506732109214,803.5649196241793,1129.3804553020377,-0.1317579757291353,1447.1155928351009,595.0,reported,1772.9311285129593,0.029598662726393016,0.006609425746405911,-0.0007014978208217841,10.1713141395285,0.0,10.206820730180477,1000.3444573012289,990.1376365710485,1457.3224135652813,1.0203306126888396
USA,wind,TUR,2024,1423.6985915002006,661.6007440343776,789.2089961088717,762.097847465823,-0.1004525561962087,1450.8097401432492,1064.7200000000012,reported,1423.6985915002006,0.01843759658485843,0.00454627934307841,0.0,12.291444766599376,0.0,12.314428642527313,1454.6514714419732,1442.337042799446,1463.1241687857764,0.8465552666248096
DEU,pv,AUS,2024,943.9690385525072,129.51154301459258,579.5357096998207,814.4574955379146,-0.6311445523247294,709.0472527144133,5323.000000000004,reported,943.9690385525072,20.05252012745343,2.194216556294764,0.0,-204.1815123935523,-754.2586680534456,-936.1934437632497,7282.037669095132,8218.23111285838,-227.14619104883639,-12.856201605993359
DEU,pv,BRA,2024,724.4366073748986,131.8617369588426,398.2022818459343,592.574870416056,-0.8431480181598846,530.0640188047769,15550.85,reported,724.4366073748986,27.72560288807919,2.456248582911081,-0.5418970996418218,-189.5969671435345,-871.6687993498016,-1031.6258121219876,6798.078946200655,7829.704758322643,-501.5617933172107,-15.175254954909693
DEU,pv,CHN,2024,590.5861539927796,109.4301787373887,369.47691176254773,481.1559752553909,-0.5260812937466695,478.90709049993643,276760.0,reported,590.5861539927796,0.0,0.0,0.0,-250.4479430366295,-221.56450641933094,-472.01244945596045,3700.8467482730316,4172.8591977289925,6.89464104397598,-12.754174424440055
DEU,pv,ESP,2024,822.1244412681233,145.39462230540977,395.0091498366218,676.7298189627136,-0.4691205152601589,540.4037721420316,6243.260000000002,reported,822.1244412681233,127.85770789675665,5.819421557308484,0.0,-138.94953869273556,-269.13088913141826,-274.4032983700887,4741.7765895245575,5016.1798878946465,266.0004737719429,-5.78693013450476
DEU,pv,FRA,2024,1103.958016240936,140.17118712993985,453.99182716551,963.7868291109962,-0.5680182225907597,594.1630142954499,5333.52,reported,1103.958016240936,259.7064920589489,12.533692782259552,0.0,-143.73049930732657,-438.65864776522056,-310.14896223133866,5410.699307984683,5720.848270216022,284.01405206411124,-5.732141902131676
DEU,pv,IND,2024,525.1674202758713,191.57837800557286,215.94456851054264,333.5890422702985,-0.7017656828234162,407.5229465161155,24174.719999999987,reported,525.1674202758713,112.44452093712185,21.19228397949563,-55.80199909227769,-187.08580117023436,-492.2117469567088,-601.4627423026034,5490.645156154766,6092.107898457369,-193.93979578648788,-10.95431821210283
DEU,pv,ITA,2024,804.1602225425657,212.89001534158686,303.0347030331993,591.2702072009789,-0.5895247210083466,515.9247183747862,6085.75,reported,804.1602225425657,329.5569064166349,-0.565298072712999,0.0,-87.36681630027329,-421.3608189905088,-179.7360269468602,5274.714075159887,5454.450102106747,336.18869142792596,-3.4075027458509592
