target,technology,iso3,year,observed,procurement,B_fit,B_anchor,beta_B,model_factual,capacity_weight,observation_rule,observed_completed,P,S,T,K,E,net,total_decline,remainder,model_without_source_contribution,net_pct
USA,wind,IND,2017,1379.8823534779967,918.8861832780237,449.2788351283991,460.996170199973,0.177335392834262,1368.1650184064229,3426.920000000005,reported,1379.8823534779967,1.0014362785896957,1.086883333953762,0.0,5.330392093128914,0.0,7.418711705672372,227.40444073006347,219.9857290243911,1375.5837301120953,3.2623424950960507
USA,wind,IND,2018,1381.2400608612577,927.3647271676462,456.06977918972444,453.87533369361154,0.177335392834262,1383.4345063573705,3426.920000000005,reported,1381.2400608612577,8.960035661638264,-6.739840060124249,0.0,4.174509153033186,0.0,6.394704754547201,226.0467333468025,219.6520285922553,1389.8292111119176,2.8289303985368366
USA,wind,IND,2019,1255.719701089365,840.3959822085254,463.9631492060352,415.32371888083946,0.177335392834262,1304.3591314145606,3426.920000000005,reported,1255.719701089365,1.1272312596167664,1.10104337948735,0.0,4.943126426517123,0.0,7.1714010656212395,351.5670931186953,344.3956920530741,1311.5305324801818,2.039838541771612
USA,wind,IND,2020,1222.0443385764129,813.309349630865,477.434962572142,408.7349889455479,0.177335392834262,1290.744312203007,3426.920000000005,reported,1222.0443385764129,1.2453093631866305,1.0271885390353057,0.0,3.394400271718371,0.0,5.666898173940307,385.2424556316473,379.575557457707,1296.4112103769473,1.4709952371809085
USA,wind,IND,2021,1051.781225948876,728.8980096987787,485.6970487874982,322.88321625009735,0.177335392834262,1214.595058486277,3426.920000000005,reported,1051.781225948876,1.3129883380476948,1.1127810533570603,0.0,4.8649859753580795,0.0,7.290755366762834,555.5055682591842,548.2148128924214,1221.8858138530397,1.3124540568711565
USA,wind,IND,2022,1191.1010340630933,630.3557723174746,493.30963409655726,560.7452617456187,0.177335392834262,1123.6654064140318,3426.920000000005,reported,1191.1010340630933,1.372406825287941,1.2435341423307713,0.0,5.293473012716282,0.0,7.909413980334994,416.18576014496693,408.27634616463195,1131.574820394367,1.9004528116435235
USA,wind,IND,2023,1236.9870705080064,583.7921118180958,503.56748374520157,653.1949586899105,0.177335392834262,1087.3595955632973,3426.920000000005,reported,1236.9870705080064,1.4483148975065283,1.2564857661621276,0.0,3.577927483662541,0.0,6.282728147331197,370.29972370005385,364.0169955527227,1093.6423237106285,1.6966602309485554
USA,wind,IND,2024,1110.269638408882,546.3302395020477,513.1751035293131,563.9393989068343,0.177335392834262,1059.5053430313608,3426.920000000005,reported,1110.269638408882,1.515385278684017,1.2598101416006515,0.0,2.1982965317741807,0.0,4.973491952058849,497.0171557991782,492.0436638471194,1064.4788349834196,1.0006680642767205
USA,wind,ITA,2010,3042.576771339253,1727.315022243171,1747.8466409473228,1315.261749096082,-0.361943176041216,3475.1616631904935,652.8600000000006,reported,3042.576771339253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3475.1616631904935,
USA,wind,ITA,2011,3732.377300030415,1683.0498644123682,1627.9985495569454,2049.327435618047,-0.361943176041216,3311.0484139693135,652.8600000000006,reported,3732.377300030415,1.0723069278069453,0.17550421681532472,0.0,4.736232002679116,0.0,5.984043147301386,-689.8005286911621,-695.7845718384634,3317.0324571166148,-0.8675034156114086
USA,wind,ITA,2012,3492.0935581917875,1474.180734817639,1520.0877684854202,2017.9128233741485,-0.361943176041216,2994.2685033030593,652.8600000000006,reported,3492.0935581917875,1.4091425612599686,0.9371662418782595,0.0,8.030742174519986,0.0,10.377050977658214,-449.51678685253455,-459.89383783019275,3004.6455542807175,-2.3084902012930697
USA,wind,ITA,2013,2409.1721620428693,1411.8517906055176,1459.8074058682682,997.3203714373517,-0.361943176041216,2871.659196473786,652.8600000000006,reported,2409.1721620428693,4.982542370157123,-0.8900154102564656,0.0,7.834249910445795,0.0,11.926776870346453,633.4046092963836,621.4778324260371,2883.5859733441325,1.8829633847463303
USA,wind,ITA,2014,2361.529671561993,1183.7825766289645,1381.1015158513724,1177.7470949330284,-0.361943176041216,2564.884092480337,652.8600000000006,reported,2361.529671561993,26.254546093982558,-22.128553108198755,0.0,4.277076789674525,0.0,8.403069775458327,681.04709977726,672.6440300018016,2573.2871622557955,1.2338456148196792
USA,wind,ITA,2015,2527.535652399827,1142.5655518672847,1298.11987722526,1384.9701005325423,-0.361943176041216,2440.685429092545,652.8600000000006,reported,2527.535652399827,10.321692931269967,-3.153423524055853,0.0,5.904949889181037,0.0,13.07321929639515,515.0411189394258,501.96789964303065,2453.75864838894,2.5382865203686187
USA,wind,ITA,2016,2129.873112690811,1062.1705855925134,1246.2178523781665,1067.7025270982977,-0.361943176041216,2308.3884379706797,652.8600000000006,reported,2129.873112690811,9.672099214791515,-2.298507777437018,0.0,6.648231571086606,0.0,14.021823008441103,912.7036586484419,898.6818356400008,2322.4102609791207,1.536295255921843
USA,wind,ITA,2017,3047.6230662438456,892.9370388435955,1205.7636360913505,2154.68602740025,-0.361943176041216,2098.7006749349457,652.8600000000006,reported,3047.6230662438456,8.539695758133924,-1.7616592864033522,0.0,7.042163902828577,0.0,13.820200374559148,-5.046294904592742,-18.86649527915189,2112.520875309505,-273.86826643803727
USA,wind,ITA,2018,2093.797504944295,889.6410500716316,1169.4033206507336,1204.1564548726633,-0.361943176041216,2059.0443707223653,652.8600000000006,reported,2093.797504944295,3.6010368593669626,2.335650412244344,0.0,8.253423604882203,0.0,14.19011087649351,948.7792663949581,934.5891555184646,2073.234481598859,1.4956177247012528
USA,wind,ITA,2019,1988.9232899516264,930.5069133345536,1129.1569951832084,1058.4163766170727,-0.361943176041216,2059.663908517762,652.8600000000006,reported,1988.9232899516264,4.197579851295881,1.7063283863207392,0.0,2.8974893414223306,0.0,8.801397579038952,1053.6534813876265,1044.8520838085876,2068.465306096801,0.8353218334596878
USA,wind,ITA,2020,2037.3177709416573,664.1411723675017,1065.0821129539997,1373.1765985741556,-0.361943176041216,1729.2232853215014,652.8600000000006,reported,2037.3177709416573,4.16200328177995,3.259493598681099,0.0,7.630133031127041,0.0,15.05162991158809,1005.2590003975956,990.2073704860076,1744.2749152330896,1.4972887490323326
USA,wind,ITA,2021,1564.420272621896,600.6336517591353,1028.4306954369347,963.7866208627606,-0.361943176041216,1629.06434719607,652.8600000000006,reported,1564.420272621896,4.349600924528068,3.528741519660226,0.0,6.863158871135787,0.0,14.741501315324081,1478.156498717357,1463.414997402033,1643.805848511394,0.997289619070494
USA,wind,ITA,2022,1538.4390431300335,582.8697408439816,996.2992046644217,955.5693022860519,-0.361943176041216,1579.1689455084033,652.8600000000006,reported,1538.4390431300335,4.568377291913797,3.561672922775782,-0.12523262375230118,5.605345273020458,0.0,13.610162863957735,1504.1377282092194,1490.5275653452616,1592.7791083723612,0.9048481803698641
USA,wind,ITA,2023,1401.7706099642528,531.899348021597,955.31605273251,869.8712619426558,-0.361943176041216,1487.2154007541071,652.8600000000006,reported,1401.7706099642528,4.7956936965409005,3.6709107145104998,-0.12356416177986719,4.114259865542026,0.0,12.457300114813558,1640.806161375,1628.3488612601866,1499.6727008689206,0.7592182677065465
USA,wind,ITA,2024,1408.131747785429,653.9514921438822,919.1675354713697,754.1802556415469,-0.361943176041216,1573.119027615252,652.8600000000006,reported,1408.131747785429,4.989985971114816,2.5613805686113014,-0.122022736707706,1.2001553287368563,0.0,8.629499131755269,1634.4450235538238,1625.8155244220686,1581.7485267470072,0.5279773260890651
USA,wind,POL,2010,3129.841562382764,1928.7167263623674,1230.3370971992813,1201.1248360203967,-0.1006582916667672,3159.0538235616486,808.4300000000003,reported,3129.841562382764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3159.0538235616486,
