grid,scenario,year,region,household,government,investment,capital,labor,carbon_revenue,walras,foreign_saving,max_absolute_gap
fiveyear_2050,C,2020,Australia_Oceania,-1.4210854715202004e-13,8.526512829121202e-14,1.1368683772161603e-13,0.0,2.2737367544323206e-13,-1.872280108727864e-12,2.7762325771618634e-10,-30.668134611991917,2.7762325771618634e-10
fiveyear_2050,C,2020,China,9.094947017729282e-13,-7.958078640513122e-13,0.0,1.8189894035458565e-12,0.0,-4.4565240386873484e-11,-4.522580638877116e-7,-337.4997384030607,4.522580638877116e-7
fiveyear_2050,C,2020,Japan,-6.821210263296962e-13,3.410605131648481e-13,0.0,-4.547473508864641e-13,4.547473508864641e-13,1.0125233984581428e-11,-1.454054654459469e-9,-6.3161059961414985,1.454054654459469e-9
fiveyear_2050,C,2020,South Korea,2.8421709430404007e-13,-1.4210854715202004e-13,-1.1368683772161603e-13,-3.410605131648481e-13,2.2737367544323206e-13,-3.2017055673350114e-11,1.2096279533579946e-10,-144.5247457790073,1.2096279533579946e-10
fiveyear_2050,C,2020,Rest of World,7.105427357601002e-15,-8.881784197001252e-16,-7.105427357601002e-15,0.0,-1.4210854715202004e-14,-4.440892098500626e-16,2.781419539132912e-10,-5.624007921373759,2.781419539132912e-10
fiveyear_2050,C,2020,Southeast Asia,-1.3642420526593924e-12,-2.1316282072803006e-14,0.0,0.0,4.547473508864641e-13,8.903100479074055e-12,-1.4470060705207288e-9,-40.61403439133689,1.4470060705207288e-9
fiveyear_2050,C,2020,"Central, Western and South Asia",-2.2737367544323206e-13,-1.7053025658242404e-13,-6.821210263296962e-13,4.547473508864641e-13,0.0,4.192202140984591e-11,-2.4247128749266267e-9,11.13973840136869,2.4247128749266267e-9
fiveyear_2050,C,2020,India,1.2846612662542611e-11,-4.263256414560601e-14,1.1368683772161603e-13,-4.547473508864641e-13,-2.2737367544323206e-13,1.2211387456773082e-10,-1.0507278602744918e-8,128.09877636923886,1.0507278602744918e-8
fiveyear_2050,C,2020,Canada,2.984279490192421e-13,0.0,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080801e-13,1.7820411812863313e-11,-3.2336515687347855e-9,35.562492490786134,3.2336515687347855e-9
fiveyear_2050,C,2020,United States,-1.7763568394002505e-12,-4.547473508864641e-13,9.094947017729282e-13,-9.094947017729282e-13,1.8189894035458565e-12,2.964384293591138e-11,-1.606240402907133e-7,668.5440850776498,1.606240402907133e-7
fiveyear_2050,C,2020,Rest of America,4.547473508864641e-13,1.9895196601282805e-13,2.2737367544323206e-13,4.547473508864641e-13,4.547473508864641e-13,3.488764832582092e-12,2.7006308300769888e-9,-26.116300059689756,2.7006308300769888e-9
fiveyear_2050,C,2020,Brazil,2.984279490192421e-13,-1.1368683772161603e-13,-5.684341886080802e-14,-3.410605131648481e-13,1.1368683772161603e-13,6.227907078937278e-12,1.0613234735501464e-9,-35.1900613816153,1.0613234735501464e-9
fiveyear_2050,C,2020,"EU, UK and EFTA",-6.59383658785373e-12,-1.3642420526593924e-12,1.8189894035458565e-12,-1.8189894035458565e-12,-1.8189894035458565e-12,-5.688605142495362e-10,1.9820618035737425e-8,-182.73479130989983,1.9820618035737425e-8
fiveyear_2050,C,2020,Eastern Europe,-4.263256414560601e-14,0.0,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,4.5847770024920464e-12,-1.2732925824820995e-11,23.569278929799566,1.2732925824820995e-11
fiveyear_2050,C,2020,Russia,3.410605131648481e-13,-2.1316282072803006e-14,0.0,-1.1368683772161603e-13,-5.684341886080802e-14,-1.6924417423069826e-10,-2.014530764427036e-10,-130.47551672837125,2.014530764427036e-10
fiveyear_2050,C,2020,North Africa,5.684341886080802e-14,2.708944180085382e-14,-2.842170943040401e-14,-1.1368683772161603e-13,-2.842170943040401e-14,7.982947636264726e-12,-1.0846008535736473e-9,40.12609547840733,1.0846008535736473e-9
fiveyear_2050,C,2020,Sub Saharan,-1.7053025658242404e-13,3.197442310920451e-14,-1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,-9.340084261566517e-12,-2.336435045435792e-9,61.67765504326446,2.336435045435792e-9
fiveyear_2050,C,2020,South Africa,-9.237055564881302e-14,-4.263256414560601e-14,-1.4210854715202004e-14,0.0,0.0,1.5798029551206128e-10,-1.624546541734162e-8,-28.95468520802149,1.624546541734162e-8
fiveyear_2050,C,2025,Australia_Oceania,0.0,0.0,-2.2737367544323206e-13,1.1368683772161603e-13,0.0,1.3535839116229909e-11,1.0213625500909984e-9,-31.183587982940413,1.0213625500909984e-9
