grid,scenario,year,region,technology,generation_TWh,capacity_proxy_GW,capacity_status,reference_CF,generation_price_2024USD_MWh,capital_efficiency,labor_efficiency,capital_service_expenditure,preference
fiveyear_2050,C,2017,China,Gas_Power,305.193471744068,77.42097203045864,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.45000000000000007,186.12061342565264,0.9999766600003124,0.9999766600003124,4.934762785155377,0.11977840093169632
fiveyear_2050,C,2017,China,Nuclear,435.4362120216292,62.13416267431923,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.8000000000000002,74.1493032779635,0.9999766600003124,0.9999766600003124,7.798691538017704,0.05435656091532291
fiveyear_2050,C,2017,China,Hydro,1962.5753167123432,503.77708335863,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.44471708929248893,50.99112413624778,0.9999953320000593,0.9999953320000625,59.310269531373734,0.08656882854152555
fiveyear_2050,C,2017,China,Wind,486.1359538963404,267.2940048469657,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.20761772018698124,63.32131465846882,1.0,1.0,15.785949348106682,0.055001723990243605
fiveyear_2050,C,2017,China,Solar,193.95848968029566,212.35529774401618,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.1042657298203161,50.15973705037116,1.0,1.0,5.622133384017532,0.029073373323720984
fiveyear_2050,C,2017,China,Biomass,123.6616404558181,20.406172447974416,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.6917821388994264,226.12903527884552,0.9999766600003124,0.9999766600003124,7.244686018820794,0.3271946838227625
fiveyear_2050,C,2017,Japan,Coal_Power,253.99178725975054,52.71726593187017,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.55,197.40414318333424,1.0005827939070984,1.0005827939070984,3.3569581690418127,0.3093766744294518
fiveyear_2050,C,2017,Japan,Oil_Power,46.94706335811844,21.437015232017554,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.25,287.5921964628927,1.0005827939070984,1.0005827939070984,0.2332716290666237,0.05184923147751557
fiveyear_2050,C,2017,Japan,Gas_Power,401.0545720261822,101.73885642470376,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.45,162.02023475017774,1.0005827939070984,1.0005827939070984,2.06733452083014,0.28096159174323393
fiveyear_2050,C,2017,Japan,Nuclear,42.31770265783506,6.038484968298383,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.7999999999999999,191.44445366979227,1.0005827939070984,1.0005827939070984,1.048195917182347,0.02307991572854857
fiveyear_2050,C,2017,Japan,Hydro,107.96748599737332,28.74155766074549,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.4288235044402434,186.44991499259407,1.0001165587814196,1.0001165587814196,6.795694200178793,0.12133703335288887
fiveyear_2050,C,2017,Japan,Wind,7.686798180615728,4.125204928692132,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.21271388741912006,216.01413630500352,1.0,1.0,0.44197162964348036,0.013409021546524333
fiveyear_2050,C,2017,Japan,Solar,37.57792867589053,33.77750759271045,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.12699924272391844,181.21673388454755,0.6858374096085583,0.6858374096085583,3.267527175238632,0.08049894169230372
fiveyear_2050,C,2017,Japan,Biomass,38.01663352730341,6.505870917982418,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.6670587846848232,495.06134233992054,1.0005827939070984,1.0005827939070984,2.6730491215126975,0.9677782563854045
fiveyear_2050,C,2017,South Korea,Coal_Power,121.07088778732353,25.128868365986616,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.55,141.97260461843965,1.0005746387521197,1.0005746387521197,1.86665565835205,0.3651548424407403
