grid,scenario,year,region,household,government,investment,capital,labor,carbon_revenue,walras,foreign_saving,max_absolute_gap
fiveyear_2050,A,2020,Rest of World,-7.105427357601002e-15,-1.1546319456101628e-14,-3.552713678800501e-15,-7.105427357601002e-15,-7.105427357601002e-15,8.554469250476132e-22,-1.6114501245430062e-13,-5.624007921373759,1.6114501245430062e-13
fiveyear_2050,A,2020,Southeast Asia,1.1368683772161603e-13,1.1368683772161603e-13,3.410605131648481e-13,0.0,-2.2737367544323206e-13,7.567280135845067e-13,1.1786139464578591e-11,-40.61403439133689,1.1786139464578591e-11
fiveyear_2050,A,2020,"Central, Western and South Asia",-9.094947017729282e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,0.0,0.0,1.0249578963339445e-12,-1.1361504506625884e-11,11.13973840136869,1.1361504506625884e-11
fiveyear_2050,A,2020,India,-3.410605131648481e-13,7.105427357601002e-14,0.0,0.0,0.0,5.959154591358827e-13,-2.7741490668576142e-12,128.09877636923886,2.7741490668576142e-12
fiveyear_2050,A,2020,Canada,7.105427357601002e-14,-5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,0.0,-1.2795716661534953e-13,-2.345332364127869e-12,35.562492490786134,2.345332364127869e-12
fiveyear_2050,A,2020,United States,-1.3642420526593924e-12,0.0,-9.094947017729282e-13,-9.094947017729282e-13,1.8189894035458565e-12,-2.3803181647963356e-13,-1.1421330515794135e-10,668.5440850776498,1.1421330515794135e-10
fiveyear_2050,A,2020,Rest of America,-9.094947017729282e-13,-2.842170943040401e-14,0.0,0.0,2.2737367544323206e-13,8.064660050877137e-13,1.3171717723630053e-11,-26.116300059689756,1.3171717723630053e-11
fiveyear_2050,A,2020,Brazil,1.4210854715202004e-14,-5.684341886080802e-14,0.0,0.0,-1.1368683772161603e-13,9.90393559811471e-15,5.600025949398687e-13,-35.1900613816153,5.600025949398687e-13
fiveyear_2050,A,2020,"EU, UK and EFTA",-1.0231815394945443e-12,-4.547473508864641e-13,1.8189894035458565e-12,9.094947017729282e-13,0.0,-1.8047785488306545e-12,-3.133112131530626e-11,-182.73479130989983,3.133112131530626e-11
fiveyear_2050,A,2020,Eastern Europe,-1.9539925233402755e-14,1.4210854715202004e-14,1.4210854715202004e-14,-2.842170943040401e-14,0.0,-5.745404152435185e-15,2.451642408197793e-13,23.569278929799566,2.451642408197793e-13
