year,region,technology,tfp_multiplier,baseline_tfp,counterfactual_tfp
2025,South Korea,pv,0.37371210608141403,2.3567756205284143,0.8807555807090052
2025,South Korea,wind,1.0,1.29434426899172,1.29434426899172
2025,Rest of World,pv,1.0,2.525219108342481,2.525219108342481
2025,Rest of World,wind,1.0,1.29434426899172,1.29434426899172
2025,Southeast Asia,pv,1.0,2.525219108342481,2.525219108342481
2025,Southeast Asia,wind,1.0,1.29434426899172,1.29434426899172
2025,"Central, Western and South Asia",pv,1.0,2.525219108342481,2.525219108342481
2025,"Central, Western and South Asia",wind,0.7661957911564596,1.3679032599594545,1.0480817204901345
2025,India,pv,0.2012740485061663,2.7739452963168034,0.5583232001243201
2025,India,wind,0.7335254901448697,1.2913243216801091,0.9472193059963934
2025,Canada,pv,1.0,2.525219108342481,2.525219108342481
2025,Canada,wind,0.7372439591053769,1.4882571377942175,1.0972085844342454
2025,United States,pv,0.6287313966921324,2.3310600957838172,1.4656106697954554
2025,United States,wind,0.9450044376787305,1.2186368478529173,1.1516172291398268
2025,Rest of America,pv,1.0,2.525219108342481,2.525219108342481
2025,Rest of America,wind,1.0,1.29434426899172,1.29434426899172
2025,Brazil,pv,0.2114306989406572,3.754880269028203,0.7938969597191158
2025,Brazil,wind,0.5583493247662177,2.0918677840233593,1.1679929647096468
2025,"EU, UK and EFTA",pv,0.2693007298011997,2.8178431519481135,0.7588472172849398
2025,"EU, UK and EFTA",wind,0.8988303236091414,1.2487958551676406,1.1224555826220848
2025,Eastern Europe,pv,1.0,2.525219108342481,2.525219108342481
2025,Eastern Europe,wind,1.0,1.29434426899172,1.29434426899172
2025,Russia,pv,1.0,2.525219108342481,2.525219108342481
2025,Russia,wind,1.0,1.29434426899172,1.29434426899172
2025,North Africa,pv,1.0,2.525219108342481,2.525219108342481
2025,North Africa,wind,1.0,1.29434426899172,1.29434426899172
2025,Sub Saharan,pv,1.0,2.525219108342481,2.525219108342481
2025,Sub Saharan,wind,1.0,1.29434426899172,1.29434426899172
2025,South Africa,pv,1.0,2.525219108342481,2.525219108342481
2025,South Africa,wind,1.0,1.29434426899172,1.29434426899172
2030,Australia_Oceania,pv,0.25264106769540506,2.9302684460156767,0.740306148835556
2030,Australia_Oceania,wind,0.6312675398749815,1.8444160353102674,1.1643199731162797
2030,China,pv,1.0,2.333049287331037,2.333049287331037
2030,China,wind,1.0,1.7350331399503898,1.7350331399503898
2030,Japan,pv,0.4454750750937161,1.724348638018019,0.7681543390088241
2030,Japan,wind,1.0,1.443674885273872,1.443674885273872
2030,South Korea,pv,0.37371210608141403,2.3567756205284143,0.8807555807090052
2030,South Korea,wind,1.0,1.443674885273872,1.443674885273872
2030,Rest of World,pv,1.0,3.8105834511056513,3.8105834511056513
2030,Rest of World,wind,1.0,1.443674885273872,1.443674885273872
2030,Southeast Asia,pv,1.0,3.8105834511056513,3.8105834511056513
2030,Southeast Asia,wind,1.0,1.443674885273872,1.443674885273872
2030,"Central, Western and South Asia",pv,1.0,3.8105834511056513,3.8105834511056513
2030,"Central, Western and South Asia",wind,0.7661957911564596,1.3679032599594545,1.0480817204901345
2030,India,pv,0.2012740485061663,2.7739452963168034,0.5583232001243201
2030,India,wind,0.7335254901448697,1.2913243216801091,0.9472193059963934
2030,Canada,pv,1.0,3.8105834511056513,3.8105834511056513
2030,Canada,wind,0.7372439591053769,1.4882571377942175,1.0972085844342454
2030,United States,pv,0.6287313966921324,2.3310600957838172,1.4656106697954554
2030,United States,wind,0.9450044376787305,1.2186368478529173,1.1516172291398268
2030,Rest of America,pv,1.0,3.8105834511056513,3.8105834511056513
2030,Rest of America,wind,1.0,1.443674885273872,1.443674885273872
2030,Brazil,pv,0.2114306989406572,3.754880269028203,0.7938969597191158
2030,Brazil,wind,0.5583493247662177,2.0918677840233593,1.1679929647096468
2030,"EU, UK and EFTA",pv,0.2693007298011997,2.8178431519481135,0.7588472172849398
2030,"EU, UK and EFTA",wind,0.8988303236091414,1.2487958551676426,1.1224555826220866
2030,Eastern Europe,pv,1.0,3.8105834511056513,3.8105834511056513
2030,Eastern Europe,wind,1.0,1.443674885273872,1.443674885273872
2030,Russia,pv,1.0,3.8105834511056513,3.8105834511056513
2030,Russia,wind,1.0,1.443674885273872,1.443674885273872
2030,North Africa,pv,1.0,3.8105834511056513,3.8105834511056513
2030,North Africa,wind,1.0,1.443674885273872,1.443674885273872
2030,Sub Saharan,pv,1.0,3.8105834511056513,3.8105834511056513
2030,Sub Saharan,wind,1.0,1.443674885273872,1.443674885273872
2030,South Africa,pv,1.0,3.8105834511056513,3.8105834511056513
2030,South Africa,wind,1.0,1.443674885273872,1.443674885273872
2035,Australia_Oceania,pv,0.25264106769540506,2.9302684460156767,0.740306148835556
2035,Australia_Oceania,wind,0.6312675398749815,1.8444160353102674,1.1643199731162797
2035,China,pv,1.0,2.333049287331037,2.333049287331037
2035,China,wind,1.0,1.7350331399503898,1.7350331399503898
2035,Japan,pv,0.4454750750937161,1.724348638018019,0.7681543390088241
2035,Japan,wind,1.0,1.443674885273872,1.443674885273872
2035,South Korea,pv,0.37371210608141403,2.3567756205284143,0.8807555807090052
2035,South Korea,wind,1.0,1.443674885273872,1.443674885273872
2035,Rest of World,pv,1.0,3.8105834511056513,3.8105834511056513
2035,Rest of World,wind,1.0,1.443674885273872,1.443674885273872
2035,Southeast Asia,pv,1.0,3.8105834511056513,3.8105834511056513
