variable,value
"pkl[14,17]",0.6888749671418065
"pkl[15,17]",0.7023762652615674
"pkl[1,18]",1.7784774094545592
"pkl[2,18]",1.7803450857870278
"pkl[3,18]",1.7829825453580246
"pkl[4,18]",1.7918941514485542
"pkl[5,18]",1.8030136849801297
"pkl[6,18]",1.8109480858992264
"pkl[7,18]",1.8089376882411454
"pkl[8,18]",1.7965360036299394
"pkl[9,18]",1.7616863010779402
"pkl[10,18]",1.7632365479180798
"pkl[11,18]",1.8335476148612295
"pkl[13,18]",1.7956639981615687
"pkl[14,18]",1.753024361608356
"pkl[15,18]",1.7621568718851002
"pkel[1,1]",1.8781671164195908
"pkel[2,1]",1.864205518516825
"pkel[3,1]",1.875514629081724
"pkel[4,1]",1.8829771550319356
"pkel[5,1]",1.7931528310758686
"pkel[6,1]",1.8153057899483973
"pkel[7,1]",1.8554869241220475
"pkel[8,1]",1.8643746694440217
"pkel[9,1]",1.8656561487351075
"pkel[10,1]",1.8980373840196298
"pkel[11,1]",1.0720420552139462
"pkel[13,1]",1.9251711237833964
"pkel[14,1]",1.982802208024478
"pkel[15,1]",1.6671969472449302
"pkel[1,2]",0.38334873092680805
"pkel[2,2]",0.39539718310679994
"pkel[3,2]",0.3933205830865884
"pkel[4,2]",0.47409557349146786
"pkel[5,2]",0.6259274409345202
"pkel[6,2]",0.4651232045188295
"pkel[7,2]",0.3589791761687235
"pkel[8,2]",0.6784055006216699
"pkel[9,2]",0.41012215935598534
"pkel[10,2]",0.41868239012305086
"pkel[11,2]",0.6175941648602156
"pkel[13,2]",0.45527633856082284
"pkel[14,2]",0.4313703961386336
"pkel[15,2]",0.389723885276042
"pkel[1,3]",2.4099251312984276
"pkel[2,3]",2.334678270792657
"pkel[3,3]",2.4101024087112677
"pkel[4,3]",2.018934524854192
"pkel[5,3]",2.1074049758519364
"pkel[6,3]",2.170973635568144
"pkel[7,3]",2.1300742477631194
"pkel[8,3]",0.9214123770455436
"pkel[9,3]",2.2682394110410597
"pkel[10,3]",2.2640535240298334
"pkel[11,3]",0.8553855178718043
"pkel[13,3]",2.339061212734986
"pkel[14,3]",2.4606977474980893
"pkel[15,3]",2.0738950477239824
"pkel[1,4]",1.9039977254839393
"pkel[2,4]",1.837789920108179
"pkel[3,4]",1.6311097235714913
"pkel[4,4]",1.7480597573776515
"pkel[5,4]",1.4968333454558538
"pkel[6,4]",2.0933578187548942
"pkel[7,4]",1.211957684208123
"pkel[8,4]",0.740957108267366
"pkel[9,4]",1.6226898144151434
"pkel[10,4]",1.6960678799683178
"pkel[11,4]",0.844029720440266
"pkel[13,4]",1.9066943469401003
