scenario,year,region,technology,CO2_Mt
A,2050,South Africa,TnD,0.0005267955838264774
A,2050,South Africa,Coal_Power,306.7960911164903
A,2050,South Africa,Oil_Power,0.04746603711555808
A,2050,South Africa,Gas_Power,7.60516347740148e-5
A,2050,South Africa,Nuclear,0.00015396447749218737
A,2050,South Africa,Hydro,2.1044844189365317e-5
A,2050,South Africa,Wind,0.00016520000128225984
A,2050,South Africa,Solar,0.0006620465969164196
A,2050,South Africa,Biomass,0.0026585241845085567
B,2030,Australia_Oceania,TnD,0.9351564255478043
B,2030,Australia_Oceania,Coal_Power,135.47471418585417
B,2030,Australia_Oceania,Oil_Power,17.9699223931667
B,2030,Australia_Oceania,Gas_Power,41.56367472125616
B,2030,Australia_Oceania,Nuclear,0.00016181936385132855
B,2030,Australia_Oceania,Hydro,3.775691186638725e-5
B,2030,Australia_Oceania,Wind,0.0004412520666335513
B,2030,Australia_Oceania,Solar,0.00033334212275422804
B,2030,Australia_Oceania,Biomass,0.4181004671105704
B,2030,China,TnD,1.5523864646628476
B,2030,China,Coal_Power,5087.6596645793825
B,2030,China,Oil_Power,167.76161387521205
B,2030,China,Gas_Power,230.82976552811033
B,2030,China,Nuclear,0.0002935698765387793
B,2030,China,Hydro,9.657371150033391e-5
B,2030,China,Wind,0.0011249334980815344
B,2030,China,Solar,0.00278645198943239
B,2030,China,Biomass,38.98888645602806
B,2030,Japan,TnD,0.11818554483058087
B,2030,Japan,Coal_Power,310.6115213729996
B,2030,Japan,Oil_Power,94.90751341098199
B,2030,Japan,Gas_Power,223.30644676691358
B,2030,Japan,Nuclear,0.00010515184180655328
B,2030,Japan,Hydro,2.727841625903579e-5
B,2030,Japan,Wind,0.00017271949176937316
B,2030,Japan,Solar,7.297720223256932e-5
B,2030,Japan,Biomass,11.470277049962235
B,2030,South Korea,TnD,0.048904652129386404
B,2030,South Korea,Coal_Power,185.55458548117616
B,2030,South Korea,Oil_Power,39.770325651035186
B,2030,South Korea,Gas_Power,67.53506623862606
B,2030,South Korea,Nuclear,0.00013129204867198108
B,2030,South Korea,Hydro,2.7055726566586766e-5
B,2030,South Korea,Wind,0.00027710038715061475
B,2030,South Korea,Solar,0.0002452561436651803
B,2030,South Korea,Biomass,3.0237901256314905
B,2030,Rest of World,TnD,0.010667015193520951
B,2030,Rest of World,Coal_Power,22.761490396088192
B,2030,Rest of World,Oil_Power,3.0575095985940575
B,2030,Rest of World,Gas_Power,1.0152129175655165
B,2030,Rest of World,Nuclear,0.00017219409703863833
B,2030,Rest of World,Hydro,4.1848167761388335e-5
B,2030,Rest of World,Wind,0.0011778651174757058
B,2030,Rest of World,Solar,0.003667219693450218
B,2030,Rest of World,Biomass,0.01398075430898732
B,2030,Southeast Asia,TnD,0.19574721077441024
B,2030,Southeast Asia,Coal_Power,578.40788042516
B,2030,Southeast Asia,Oil_Power,23.588066503182766
