scenario,year,region,sector,CO2_Mt
A,2050,South Korea,OthServ,74.22723223031278
A,2050,South Korea,Transport,153.5230531385385
A,2050,South Korea,Power,335.19138133751585
A,2050,South Korea,Households,150.65264033819713
A,2050,Rest of World,Rice,9.440017333086579e-5
A,2050,Rest of World,Crops nec,0.8030688814060906
A,2050,Rest of World,"Bovine cattle, sheep and goats, horses",0.03911998343389409
A,2050,Rest of World,Animal products nec,0.22845068578160718
A,2050,Rest of World,Forestry,0.024433952701282083
A,2050,Rest of World,Coal,0.03506244860838811
A,2050,Rest of World,Oil,0.03487170693570151
A,2050,Rest of World,Gas,0.00829696872653448
A,2050,Rest of World,Mine,3.5816021523497095
A,2050,Rest of World,Manufac,20.73148225756792
A,2050,Rest of World,Petro,0.25571908215686284
A,2050,Rest of World,WatWaste,0.4513560988461984
A,2050,Rest of World,OthServ,14.637667516298588
A,2050,Rest of World,Transport,13.104641383690474
A,2050,Rest of World,Power,38.58807610748006
A,2050,Rest of World,Households,7.102574512248711
A,2050,Southeast Asia,Rice,7.021959478405111
A,2050,Southeast Asia,Crops nec,12.808771702263236
A,2050,Southeast Asia,"Bovine cattle, sheep and goats, horses",0.09174824937193815
A,2050,Southeast Asia,Animal products nec,23.722395463327864
A,2050,Southeast Asia,Forestry,5.679807198823394
A,2050,Southeast Asia,Coal,0.053180541987219936
A,2050,Southeast Asia,Oil,0.1469786341443552
A,2050,Southeast Asia,Gas,20.78167560388977
A,2050,Southeast Asia,Mine,26.86000760802024
A,2050,Southeast Asia,Manufac,160.82170740986595
A,2050,Southeast Asia,Petro,73.88552778251801
A,2050,Southeast Asia,WatWaste,1.6617961697379229
A,2050,Southeast Asia,OthServ,89.06346694526835
A,2050,Southeast Asia,Transport,837.821804342606
A,2050,Southeast Asia,Power,877.3137439889853
A,2050,Southeast Asia,Households,422.8870959441844
A,2050,"Central, Western and South Asia",Rice,9.545144187021984
A,2050,"Central, Western and South Asia",Crops nec,59.55297938408675
A,2050,"Central, Western and South Asia","Bovine cattle, sheep and goats, horses",3.4655153696944656
A,2050,"Central, Western and South Asia",Animal products nec,23.41181007052199
A,2050,"Central, Western and South Asia",Forestry,1.927502920544537
A,2050,"Central, Western and South Asia",Coal,5.9205381586597055
A,2050,"Central, Western and South Asia",Oil,18.969112480395243
A,2050,"Central, Western and South Asia",Gas,54.1060532569231
A,2050,"Central, Western and South Asia",Mine,75.44684527036259
A,2050,"Central, Western and South Asia",Manufac,748.041109738738
A,2050,"Central, Western and South Asia",Petro,311.50366019868204
A,2050,"Central, Western and South Asia",WatWaste,36.8850878988256
A,2050,"Central, Western and South Asia",OthServ,313.2565426936049
A,2050,"Central, Western and South Asia",Transport,1249.1133617383343
A,2050,"Central, Western and South Asia",Power,2399.1661792047194
A,2050,"Central, Western and South Asia",Households,1194.1582068399418
A,2050,India,Rice,33.90940990651947
A,2050,India,Crops nec,23.858674586789128
A,2050,India,"Bovine cattle, sheep and goats, horses",0.014397941000686799
A,2050,India,Animal products nec,1.2868520203566813
A,2050,India,Forestry,4.3992249737005436
A,2050,India,Coal,0.08317390532870589
A,2050,India,Oil,0.00144159881282249
A,2050,India,Gas,0.3702704334108807
A,2050,India,Mine,13.827939478965328
A,2050,India,Manufac,165.3392179286569
A,2050,India,Petro,165.72797904202537
A,2050,India,WatWaste,5.830480326577392
A,2050,India,OthServ,35.86234147685268
A,2050,India,Transport,393.7430690154065
A,2050,India,Power,1410.1917859997898
A,2050,India,Households,688.8272530400471
A,2050,Canada,Rice,0.5405410823331384
A,2050,Canada,Crops nec,61.38434422643141
A,2050,Canada,"Bovine cattle, sheep and goats, horses",2.6033979233192848
A,2050,Canada,Animal products nec,11.193283400646838
A,2050,Canada,Forestry,13.798118366452
A,2050,Canada,Coal,0.28795711038059885
A,2050,Canada,Oil,27.483333064218705
A,2050,Canada,Gas,76.8739847115209
A,2050,Canada,Mine,24.8514780648578
A,2050,Canada,Manufac,80.90176996884688
A,2050,Canada,Petro,40.290766741322344
A,2050,Canada,WatWaste,0.521726575581702
A,2050,Canada,OthServ,105.40434215013536
A,2050,Canada,Transport,256.8428383593785
A,2050,Canada,Power,219.03098410597588
A,2050,Canada,Households,227.34743749850463
A,2050,United States,Rice,1.3258700633569611
A,2050,United States,Crops nec,90.25019978177244
A,2050,United States,"Bovine cattle, sheep and goats, horses",21.14082967744118
A,2050,United States,Animal products nec,39.90262010380136
A,2050,United States,Forestry,11.631226100445664
A,2050,United States,Coal,8.004283196464703
A,2050,United States,Oil,11.29214265191746
A,2050,United States,Gas,78.43444157388576
A,2050,United States,Mine,35.87655437782147
A,2050,United States,Manufac,461.107624117369
A,2050,United States,Petro,381.54712650699975
A,2050,United States,WatWaste,8.974302917806082
A,2050,United States,OthServ,570.6080947031355
A,2050,United States,Transport,2276.163925829139
A,2050,United States,Power,2278.4100793577977
A,2050,United States,Households,2002.0125085672983
A,2050,Rest of America,Rice,2.992135903555282
A,2050,Rest of America,Crops nec,45.741054945325985
A,2050,Rest of America,"Bovine cattle, sheep and goats, horses",6.857211787534349
A,2050,Rest of America,Animal products nec,19.083694957670517
A,2050,Rest of America,Forestry,4.478151290856198
A,2050,Rest of America,Coal,0.05473711539572852
A,2050,Rest of America,Oil,9.002361271279812
A,2050,Rest of America,Gas,45.16384472161891
A,2050,Rest of America,Mine,76.25767126585878
A,2050,Rest of America,Manufac,274.25724837661744
A,2050,Rest of America,Petro,165.61599564728903
A,2050,Rest of America,WatWaste,6.341444944571332
A,2050,Rest of America,OthServ,155.0429049945298
A,2050,Rest of America,Transport,813.171160415858
A,2050,Rest of America,Power,719.1642755689844
A,2050,Rest of America,Households,548.146359700556
A,2050,Brazil,Rice,1.992402903960132
A,2050,Brazil,Crops nec,83.80243609684854
A,2050,Brazil,"Bovine cattle, sheep and goats, horses",9.793101508529075
A,2050,Brazil,Animal products nec,22.344341857694495
A,2050,Brazil,Forestry,4.184110103380296
A,2050,Brazil,Coal,0.03650563309021576
A,2050,Brazil,Oil,11.724246856168023
A,2050,Brazil,Gas,11.037810129202727
A,2050,Brazil,Mine,36.57782338848276
A,2050,Brazil,Manufac,307.0621366587469
A,2050,Brazil,Petro,86.71074207366837
A,2050,Brazil,WatWaste,1.6458846198682293
A,2050,Brazil,OthServ,29.154618338453705
A,2050,Brazil,Transport,395.9476025060292
A,2050,Brazil,Power,240.77418575902712
A,2050,Brazil,Households,252.83025725171595
A,2050,"EU, UK and EFTA",Rice,0.7092710756762134
A,2050,"EU, UK and EFTA",Crops nec,66.01548881929982
A,2050,"EU, UK and EFTA","Bovine cattle, sheep and goats, horses",6.244296868856308
A,2050,"EU, UK and EFTA",Animal products nec,34.77539553256647
A,2050,"EU, UK and EFTA",Forestry,6.890807785759027
A,2050,"EU, UK and EFTA",Coal,0.22608078502056442
A,2050,"EU, UK and EFTA",Oil,1.2053153370788448
A,2050,"EU, UK and EFTA",Gas,8.803310930200263
A,2050,"EU, UK and EFTA",Mine,16.21380333173314
A,2050,"EU, UK and EFTA",Manufac,570.0275547941905
A,2050,"EU, UK and EFTA",Petro,171.06371689322583
A,2050,"EU, UK and EFTA",WatWaste,6.382270474410531
A,2050,"EU, UK and EFTA",OthServ,349.67008969482276
A,2050,"EU, UK and EFTA",Transport,1124.1597517764455
A,2050,"EU, UK and EFTA",Power,563.7638226754993
A,2050,"EU, UK and EFTA",Households,1042.340802972345
A,2050,Eastern Europe,Rice,0.6458478253591293
A,2050,Eastern Europe,Crops nec,36.0372162046744
A,2050,Eastern Europe,"Bovine cattle, sheep and goats, horses",1.2826516815048115
A,2050,Eastern Europe,Animal products nec,10.014551639105381
A,2050,Eastern Europe,Forestry,0.9546926084729619
A,2050,Eastern Europe,Coal,0.5407246354650266
A,2050,Eastern Europe,Oil,0.21296459100663728
A,2050,Eastern Europe,Gas,2.5940054572727593
A,2050,Eastern Europe,Mine,7.754255227346094
A,2050,Eastern Europe,Manufac,120.5783022536103
A,2050,Eastern Europe,Petro,25.75954248005863
A,2050,Eastern Europe,WatWaste,1.028497460565466
A,2050,Eastern Europe,OthServ,21.515981723827252
A,2050,Eastern Europe,Transport,99.49469915324387
A,2050,Eastern Europe,Power,332.6643161815705
A,2050,Eastern Europe,Households,122.20970624742162
A,2050,Russia,Rice,1.7705130424077815
A,2050,Russia,Crops nec,35.04731954712552
A,2050,Russia,"Bovine cattle, sheep and goats, horses",0.4813882798013849
A,2050,Russia,Animal products nec,12.709802341583352
A,2050,Russia,Forestry,8.091313673702341
A,2050,Russia,Coal,12.1874068538582
A,2050,Russia,Oil,3.2573282732771367
A,2050,Russia,Gas,30.239766874294126
A,2050,Russia,Mine,25.120363229034666
A,2050,Russia,Manufac,478.51612559485886
A,2050,Russia,Petro,74.0771130918146
A,2050,Russia,WatWaste,3.3184369444274906
A,2050,Russia,OthServ,70.94921790685652
A,2050,Russia,Transport,336.7070444121716
A,2050,Russia,Power,1317.5061829390536
A,2050,Russia,Households,419.1412068387822
A,2050,North Africa,Rice,0.9878263619568285
A,2050,North Africa,Crops nec,9.95869013564646
A,2050,North Africa,"Bovine cattle, sheep and goats, horses",0.49796626393989013
A,2050,North Africa,Animal products nec,4.974646822707976
A,2050,North Africa,Forestry,0.488048011919238
A,2050,North Africa,Coal,0.22758669055783212
