scenario,year,region,sector,real_output,labor_demand,capital_demand
A,2017,Rest of World,Gas,0.005711880529167414,0.0007688886932349302,0.0017395946099503228
A,2017,Rest of World,Mine,7.0148463043953,0.3732730206332674,2.3298544673905397
A,2017,Rest of World,Manufac,18.68411350696239,3.3068530651827452,3.4365926025698346
A,2017,Rest of World,Petro,0.296533768229879,0.002378042359684823,0.017747887437518553
A,2017,Rest of World,Power,3.6454357356710325,0.6533478622543706,1.0847024198271578
A,2017,Rest of World,WatWaste,1.8868715159342178,0.41698854894333565,0.40812610611971106
A,2017,Rest of World,OthServ,115.2510675976971,25.2210892318586,27.125695993946824
A,2017,Rest of World,Transport,16.19538732222123,1.7906460744958328,2.8592418740156287
A,2017,Southeast Asia,Rice,99.20253676560836,29.24067195596075,9.828311044028272
A,2017,Southeast Asia,Crops nec,197.35202727742777,59.706626262369525,19.51444018231523
A,2017,Southeast Asia,"Bovine cattle, sheep and goats, horses",11.111541416034154,3.377742565833734,1.1087148164328042
A,2017,Southeast Asia,Animal products nec,112.73307898508101,17.405739303419093,18.97564733550585
A,2017,Southeast Asia,Forestry,32.57481747967707,9.343106902289353,11.430731671567997
A,2017,Southeast Asia,Coal,36.1411296193355,2.748150482769839,12.286933509378304
A,2017,Southeast Asia,Oil,37.38263670838064,3.6479565214893652,13.795230884917254
A,2017,Southeast Asia,Gas,40.86345155733934,4.895184359801741,14.993999568344936
A,2017,Southeast Asia,Mine,66.27941133212049,10.04244451693079,29.236851916751693
A,2017,Southeast Asia,Manufac,2265.732219075776,200.5410720152352,367.61359022356027
A,2017,Southeast Asia,Petro,105.97100922623092,2.280536292214311,6.867071681826836
A,2017,Southeast Asia,Power,108.79202378832282,12.978652612055242,37.77097371366201
A,2017,Southeast Asia,WatWaste,44.03122078796242,6.130085689316079,7.849240018935731
A,2017,Southeast Asia,OthServ,2820.8183386223395,649.8228496186647,790.2208574347848
A,2017,Southeast Asia,Transport,300.9136376188073,47.432919854287,79.12806102728467
A,2017,"Central, Western and South Asia",Rice,28.11111642118892,10.230297164373228,2.8836124669745775
A,2017,"Central, Western and South Asia",Crops nec,222.7720059381701,63.64185396637426,37.40255539484296
A,2017,"Central, Western and South Asia","Bovine cattle, sheep and goats, horses",59.28569704550355,9.346619144779883,5.154806787321389
A,2017,"Central, Western and South Asia",Animal products nec,126.01536393587517,16.967980652342288,15.705918461916927
A,2017,"Central, Western and South Asia",Forestry,19.75619185825797,1.9368663584479415,6.603751973571085
A,2017,"Central, Western and South Asia",Coal,10.908421129858382,1.4624976810682826,1.8909326892937206
A,2017,"Central, Western and South Asia",Oil,540.1161207040029,40.57423058036907,268.41692257567496
A,2017,"Central, Western and South Asia",Gas,208.4191791818656,12.393470022616535,108.07357394132197
A,2017,"Central, Western and South Asia",Mine,84.45333994853642,12.549336819630412,35.35797549678887
A,2017,"Central, Western and South Asia",Manufac,2002.3080293088299,252.54552006166824,525.3395115866205
A,2017,"Central, Western and South Asia",Petro,285.68607443248624,8.729881790223871,48.149547601064526
A,2017,"Central, Western and South Asia",Power,225.95070446514137,20.742657681828867,52.26159217905787
A,2017,"Central, Western and South Asia",WatWaste,88.31377431626551,20.13437314321252,32.85606409402224
A,2017,"Central, Western and South Asia",OthServ,3952.63106634993,953.2223823850908,1361.4172046611884
A,2017,"Central, Western and South Asia",Transport,425.18176427600497,56.19057129766875,133.88517584229265
A,2017,India,Rice,76.24390184557771,22.520451062323232,5.221947700655134
A,2017,India,Crops nec,241.41144855486868,125.26490800861822,28.826791625689456
A,2017,India,"Bovine cattle, sheep and goats, horses",7.6119928617323565,2.957296938453938,0.6781048048111822
A,2017,India,Animal products nec,151.07493234225947,65.59393018145603,19.948272765699475
A,2017,India,Forestry,42.369378067002835,17.15675302011881,14.279909468168858
A,2017,India,Coal,33.96423489715501,4.522061916034408,9.182351690863875
A,2017,India,Oil,11.611028122003578,1.4112548407052656,2.9939246092315424
A,2017,India,Gas,9.101599586344074,0.7810568056326979,4.020877876021355
