scenario,year,region,wage,household_price_index,government_income,exports_FOB,imports_CIF,foreign_saving,capital_return
A,2017,Sub Saharan,0.9986547088337767,1.0280706770933585,164.8726560922865,278.2714350225866,346.53254186792157,55.19547505187988,0.9981371531657786
A,2017,South Africa,0.9985250817960651,1.0668899156157745,96.64882280887123,126.05270983637712,101.30791274924768,-28.11130776119232,0.9983758045708798
A,2020,Australia_Oceania,1.0826591240033459,1.141220554797484,557.2323455437639,453.3729825706173,434.6845133162029,-30.668134611991917,1.1704171174530327
A,2020,China,1.1911863653993713,1.0754833691699552,3094.4930975542325,3425.572165492123,3189.296493746435,-337.49973840306603,1.051232153709814
A,2020,Japan,1.1163737512497534,1.1076958279393567,1758.6604870705946,932.2155329324282,960.0848220671747,-6.3161059961414985,1.137271411940095
A,2020,South Korea,1.154549173927303,1.158332081796297,523.5244192043614,765.3489100692703,642.4357921007446,-144.5247457790073,1.1405661954738504
A,2020,Rest of World,1.1089951602543444,1.0842360057622942,9.258760467416685,36.0225478694289,31.344127315469734,-5.624007921373759,1.156519223822298
A,2020,Southeast Asia,1.0921953975232088,1.058865541071922,416.34252426238896,1644.4947021359671,1658.0534193278504,-40.61403439133689,1.1930145035086808
A,2020,"Central, Western and South Asia",1.0815904564923131,1.0481257392643941,537.7261669541526,1579.4557897724226,1650.9725054311994,11.13973840136869,1.222296295924448
A,2020,India,1.1355442506915698,1.0466969083471278,335.41337914641673,465.31031385853396,613.4015735106038,128.09877636923886,1.153102394336641
A,2020,Canada,1.0917271180759005,1.1436612257266934,670.9601170593893,534.966591909598,580.3563898164219,35.562492490786134,1.0931167318200916
A,2020,United States,1.1002475495547688,1.0723116103173194,7027.492938736189,2468.69487998782,3210.321825451557,668.5440850776498,1.1564012192311681
A,2020,Rest of America,1.052709982716996,1.1232324398042177,771.0664511602171,1111.9579026951894,1115.7938447075371,-26.116300059689756,1.2102774204184452
A,2020,Brazil,1.0874670410109641,1.2110892557281925,734.7138801093016,297.5022533273386,270.01375224411925,-35.1900613816153,1.2496356912725382
A,2020,"EU, UK and EFTA",1.1106046069438098,1.202493611150083,8196.273182052877,8355.668971171033,8346.50053958891,-182.73479130989983,1.174704749826948
A,2020,Eastern Europe,1.1348807998206407,1.1967916586120795,96.81190506231445,159.37731894121058,190.12619465174782,23.569278929799566,1.1680976616823033
A,2020,Russia,1.1000525358811117,1.0531724383437278,301.84425593333793,439.56476314299994,319.570056164795,-130.47551672837125,1.2035356781089874
A,2020,North Africa,1.0558506605689684,1.0058747373354517,121.7898349800612,198.86024828786657,249.44465926437638,40.12609547840733,1.2062008127784924
A,2020,Sub Saharan,1.0519692597030421,1.0669434652560266,191.58782111377985,323.8350888521657,400.79130866622035,61.67765504326446,1.202224349970486
A,2020,South Africa,1.0689041143704765,1.16500619782529,109.70325593783066,141.7270857236623,116.63044314303262,-28.95468520802149,1.240208160214364
A,2025,Australia_Oceania,1.247512656922733,1.3488648682243431,696.7389178978108,561.5359880802215,545.0126320730282,-31.183587982940413,1.4369297453795087
A,2025,China,1.4772341574898502,1.1023150751251511,3968.394673814691,4319.261116455395,4026.0707698523156,-421.45630597828637,1.029704277451
A,2025,Japan,1.3025545935107194,1.2309070553480908,2002.1621699814978,1099.3362258437135,1132.5734540907945,-6.443694854242664,1.317884256016561
A,2025,South Korea,1.4196925389377086,1.2703199006622077,627.9018325472479,925.2645504479409,792.1579132041696,-159.28775048622288,1.296110476874095
A,2025,Rest of World,1.2696439612496153,1.180222555371409,11.297006894654,43.85804337242486,38.83626453092497,-6.2032122280852855,1.3293309426935749
A,2025,Southeast Asia,1.2111333376984827,1.1297107899840806,508.0909683066338,2019.8517039057406,2040.3109644618976,-46.65626740873011,1.4108400412154347
A,2025,"Central, Western and South Asia",1.2027093672171663,1.1352545572416162,645.7243219813727,1954.3444553115016,2041.1030232270557,12.643992193623268,1.5779859014018576
A,2025,India,1.3636661129864136,1.0826015711196668,437.5382916379545,593.2915658641083,781.3818874886857,163.12730119612667,1.3112842309162542
