grid,scenario,year,next_year,region,interval_years,opening_stock,annual_real_investment,survival,investment_annuity,next_stock,identity_residual
fiveyear_2050,B,2030,2035,Japan,5,27400.751757602724,1371.3831455922261,0.7737809374999999,4.524381250000002,27406.839573686095,-9.094947017729282e-13
fiveyear_2050,B,2030,2035,South Korea,5,9640.362440466033,658.0519224833328,0.7737809374999999,4.524381250000002,10436.80646663364,0.0
fiveyear_2050,B,2030,2035,Rest of World,5,548.2996137591056,38.52569423291827,0.7737809374999999,4.524381250000002,598.5687177960572,2.842170943040401e-14
fiveyear_2050,B,2030,2035,Southeast Asia,5,18505.932054992205,1274.6570600620255,0.7737809374999999,4.524381250000002,20086.571957547923,0.0
fiveyear_2050,B,2030,2035,"Central, Western and South Asia",5,30503.50086362683,1817.1410791098392,0.7737809374999999,4.524381250000002,31824.46652221855,-1.8189894035458565e-12
fiveyear_2050,B,2030,2035,India,5,16668.33078567402,1600.8845983056026,0.7737809374999999,4.524381250000002,20140.648881886606,-9.094947017729282e-13
fiveyear_2050,B,2030,2035,Canada,5,6883.453712634613,459.4058772917973,0.7737809374999999,4.524381250000002,7404.812604359075,-4.547473508864641e-13
fiveyear_2050,B,2030,2035,United States,5,91921.09913295298,5417.82687616655,0.7737809374999999,4.524381250000002,95639.1085974008,0.0
fiveyear_2050,B,2030,2035,Rest of America,5,19721.612017508793,910.2822884981983,0.7737809374999999,4.524381250000002,19378.671554207558,-9.094947017729282e-13
fiveyear_2050,B,2030,2035,Brazil,5,7739.729478255046,371.5993431374865,0.7737809374999999,4.524381250000002,7670.112232284135,-4.547473508864641e-13
fiveyear_2050,B,2030,2035,"EU, UK and EFTA",5,87346.89092868814,4616.31969019804,0.7737809374999999,4.524381250000002,88473.34940084837,-3.637978807091713e-12
fiveyear_2050,B,2030,2035,Eastern Europe,5,1429.5228459145123,68.15812206457025,0.7737809374999999,4.524381250000002,1414.5108573935522,-1.1368683772161603e-13
fiveyear_2050,B,2030,2035,Russia,5,9312.733970032907,477.75835919475537,0.7737809374999999,4.524381250000002,9367.576984391675,0.0
fiveyear_2050,B,2030,2035,North Africa,5,3862.307442083671,262.8188533809139,0.7737809374999999,4.524381250000002,4177.6725658318355,-2.2737367544323206e-13
fiveyear_2050,B,2030,2035,Sub Saharan,5,7025.330842399154,409.3808210972294,0.7737809374999999,4.524381250000002,7288.261996561191,-2.2737367544323206e-13
fiveyear_2050,B,2030,2035,South Africa,5,1585.049813230385,82.62851252055452,0.7737809374999999,4.524381250000002,1600.3242232289942,-5.684341886080802e-14
fiveyear_2050,B,2035,2040,Australia_Oceania,5,7719.996439570383,516.9570899473604,0.7737809374999999,4.524381250000002,8312.497047319834,-4.547473508864641e-13
fiveyear_2050,B,2035,2040,China,5,99260.09788359897,7035.015142162164,0.7737809374999999,4.524381250000002,108634.66219937756,3.637978807091713e-12
fiveyear_2050,B,2035,2040,Japan,5,27406.839573686095,1438.768112085826,0.7737809374999999,4.524381250000002,27716.425488657937,9.094947017729282e-13
fiveyear_2050,B,2035,2040,South Korea,5,10436.80646663364,726.5644470532326,0.7737809374999999,4.524381250000002,11363.056453422103,-4.547473508864641e-13
fiveyear_2050,B,2035,2040,Rest of World,5,598.5687177960572,44.567891786009874,0.7737809374999999,4.524381250000002,664.8031975630581,-2.842170943040401e-14
fiveyear_2050,B,2035,2040,Southeast Asia,5,20086.571957547923,1491.1457822145826,0.7737809374999999,4.524381250000002,22289.118498540884,0.0
fiveyear_2050,B,2035,2040,"Central, Western and South Asia",5,31824.46652221855,2124.198521787685,0.7737809374999999,4.524381250000002,34235.84950425355,-3.637978807091713e-12
fiveyear_2050,B,2035,2040,India,5,20140.648881886606,1997.7061048334585,0.7737809374999999,4.524381250000002,24622.83421740358,0.0
fiveyear_2050,B,2035,2040,Canada,5,7404.812604359075,509.7187096142419,0.7737809374999999,4.524381250000002,8035.864611565652,-4.547473508864641e-13
fiveyear_2050,B,2035,2040,United States,5,95639.1085974008,5865.580418029701,0.7737809374999999,4.524381250000002,100541.84117586185,-3.637978807091713e-12
fiveyear_2050,B,2035,2040,Rest of America,5,19378.671554207558,1050.7046970381248,0.7737809374999999,4.524381250000002,19748.635273285527,-9.094947017729282e-13
fiveyear_2050,B,2035,2040,Brazil,5,7670.112232284135,424.57622971763493,0.7737809374999999,4.524381250000002,7855.931366757196,0.0
fiveyear_2050,B,2035,2040,"EU, UK and EFTA",5,88473.34940084837,5144.879083965758,0.7737809374999999,4.524381250000002,91736.38570416537,3.637978807091713e-12
fiveyear_2050,B,2035,2040,Eastern Europe,5,1414.5108573935522,77.25965446522761,0.7737809374999999,4.524381250000002,1444.0736693818662,5.684341886080802e-14
fiveyear_2050,B,2035,2040,Russia,5,9367.576984391675,530.2672024749963,0.7737809374999999,4.524381250000002,9647.58348945384,-4.547473508864641e-13
fiveyear_2050,B,2035,2040,North Africa,5,4177.6725658318355,312.54556695977453,0.7737809374999999,4.524381250000002,4646.678697480812,2.2737367544323206e-13
fiveyear_2050,B,2035,2040,Sub Saharan,5,7288.261996561191,546.755160056693,0.7737809374999999,4.524381250000002,8113.246994945992,4.547473508864641e-13
fiveyear_2050,B,2035,2040,South Africa,5,1600.3242232289942,100.2491603789765,0.7737809374999999,4.524381250000002,1691.8657993009747,5.684341886080802e-14
fiveyear_2050,B,2040,2045,Australia_Oceania,5,8312.497047319834,592.9962567547753,0.7737809374999999,4.524381250000002,9114.992903622615,0.0
fiveyear_2050,B,2040,2045,China,5,108634.66219937756,7050.554183931451,0.7737809374999999,4.524381250000002,115958.8259135187,7.275957614183426e-12
fiveyear_2050,B,2040,2045,Japan,5,27716.425488657937,1499.731420275541,0.7737809374999999,4.524381250000002,28231.798416693164,9.094947017729282e-13
fiveyear_2050,B,2040,2045,South Korea,5,11363.056453422103,788.8793561779721,0.7737809374999999,4.524381250000002,12361.70744299807,0.0
fiveyear_2050,B,2040,2045,Rest of World,5,664.8031975630581,50.722112276589506,0.7737809374999999,4.524381250000002,743.8982152079373,2.842170943040401e-14
fiveyear_2050,B,2040,2045,Southeast Asia,5,22289.118498540884,1694.4517170230456,0.7737809374999999,4.524381250000002,24913.24058537893,0.0
fiveyear_2050,B,2040,2045,"Central, Western and South Asia",5,34235.84950425355,2445.694759322154,0.7737809374999999,4.524381250000002,37556.30323781064,3.637978807091713e-12
fiveyear_2050,B,2040,2045,India,5,24622.83421740358,2382.77694582927,0.7737809374999999,4.524381250000002,29833.271081291838,1.8189894035458565e-12
fiveyear_2050,B,2040,2045,Canada,5,8035.864611565652,560.5927596677062,0.7737809374999999,4.524381250000002,8754.33422348667,4.547473508864641e-13
fiveyear_2050,B,2040,2045,United States,5,100541.84117586185,6276.221314679213,0.7737809374999999,4.524381250000002,106193.37816001946,7.275957614183426e-12
fiveyear_2050,B,2040,2045,Rest of America,5,19748.635273285527,1203.1444977310578,0.7737809374999999,4.524381250000002,20724.60192268351,0.0
fiveyear_2050,B,2040,2045,Brazil,5,7855.931366757196,482.5167998709413,0.7737809374999999,4.524381250000002,8261.859900051128,-9.094947017729282e-13
fiveyear_2050,B,2040,2045,"EU, UK and EFTA",5,91736.38570416537,5667.3852873910855,0.7737809374999999,4.524381250000002,96625.27826382878,7.275957614183426e-12
fiveyear_2050,B,2040,2045,Eastern Europe,5,1444.0736693818662,86.35614911059413,0.7737809374999999,4.524381250000002,1508.1048195715416,-1.1368683772161603e-13
