grid,scenario,year,region,household,government,investment,capital,labor,carbon_revenue,walras,foreign_saving,max_absolute_gap
fiveyear_2050,B,2020,Australia_Oceania,-3.126388037344441e-13,5.684341886080802e-14,0.0,0.0,0.0,-6.30961949354969e-12,-7.332232598855626e-10,-30.668134611991917,7.332232598855626e-10
fiveyear_2050,B,2020,China,2.7284841053187847e-12,-1.7053025658242404e-13,9.094947017729282e-13,9.094947017729282e-13,0.0,-1.1892961388332391e-8,-3.563764039427042e-8,-337.4997384030528,3.563764039427042e-8
fiveyear_2050,B,2020,Japan,-1.2505552149377763e-12,-2.2737367544323206e-13,0.0,0.0,2.2737367544323206e-13,1.1501910535116622e-12,-6.070877134334296e-11,-6.3161059961414985,6.070877134334296e-11
fiveyear_2050,B,2020,South Korea,-2.2737367544323206e-13,1.9895196601282805e-13,-4.547473508864641e-13,0.0,-1.1368683772161603e-13,8.943956686380261e-11,3.56180862581823e-10,-144.5247457790073,3.56180862581823e-10
fiveyear_2050,B,2020,Rest of World,1.4210854715202004e-14,-6.217248937900877e-15,0.0,7.105427357601002e-15,0.0,-2.879295868043497e-19,-2.856914704807423e-10,-5.624007921373759,2.856914704807423e-10
fiveyear_2050,B,2020,Southeast Asia,-4.547473508864641e-13,3.197442310920451e-14,-7.958078640513122e-13,-4.547473508864641e-13,2.2737367544323206e-13,-1.5010215292932116e-13,2.594333636807278e-10,-40.61403439133689,2.594333636807278e-10
fiveyear_2050,B,2020,"Central, Western and South Asia",-4.547473508864641e-13,-1.1368683772161603e-13,-4.547473508864641e-13,-4.547473508864641e-13,0.0,-1.9644152970954565e-10,-4.317826096666977e-10,11.13973840136869,4.317826096666977e-10
fiveyear_2050,B,2020,India,3.410605131648481e-13,-3.552713678800501e-15,-4.547473508864641e-13,0.0,6.821210263296962e-13,-1.8512977293602733e-11,-1.136493210651679e-8,128.09877636923886,1.136493210651679e-8
fiveyear_2050,B,2020,Canada,1.8474111129762605e-13,1.7053025658242404e-13,-1.1368683772161603e-13,-5.684341886080802e-14,2.2737367544323206e-13,-3.3562585664754205e-10,7.186713446571957e-10,35.562492490786134,7.186713446571957e-10
fiveyear_2050,B,2020,United States,-5.684341886080802e-14,-4.547473508864641e-13,9.094947017729282e-13,0.0,0.0,4.050093593832571e-12,-1.6270496416836977e-7,668.5440850776498,1.6270496416836977e-7
fiveyear_2050,B,2020,Rest of America,1.2505552149377763e-12,-2.8421709430404007e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,0.0,-3.823608096809039e-12,-8.571987564209849e-11,-26.116300059689756,8.571987564209849e-11
fiveyear_2050,B,2020,Brazil,2.842170943040401e-14,5.684341886080802e-14,1.7053025658242404e-13,2.2737367544323206e-13,1.1368683772161603e-13,-1.4664211881233158e-11,2.2723156689608004e-9,-35.1900613816153,2.2723156689608004e-9
fiveyear_2050,B,2020,"EU, UK and EFTA",-9.094947017729282e-13,-1.8189894035458565e-12,-9.094947017729282e-13,-9.094947017729282e-13,9.094947017729282e-13,3.9266012663574656e-10,-6.193658919073641e-10,-182.73479130989983,6.193658919073641e-10
fiveyear_2050,B,2020,Eastern Europe,-1.0658141036401503e-14,-2.1316282072803006e-14,1.4210854715202004e-14,1.4210854715202004e-14,0.0,4.048983370807946e-13,-2.3106849766918458e-11,23.569278929799566,2.3106849766918458e-11
fiveyear_2050,B,2020,Russia,3.410605131648481e-13,1.0302869668521453e-13,-5.684341886080802e-14,3.410605131648481e-13,-5.684341886080802e-14,-1.7970837820121e-10,-3.900026968040038e-10,-130.47551672837125,3.900026968040038e-10
fiveyear_2050,B,2020,North Africa,1.1368683772161603e-13,4.1300296516055823e-14,2.842170943040401e-14,1.1368683772161603e-13,-2.842170943040401e-14,-5.37979326795044e-12,-2.400526000201353e-9,40.12609547840733,2.400526000201353e-9
fiveyear_2050,B,2020,Sub Saharan,-6.252776074688882e-13,1.7763568394002505e-14,5.684341886080802e-14,1.1368683772161603e-13,0.0,-1.2279043017865054e-10,-2.8597924028872512e-9,61.67765504326446,2.8597924028872512e-9
fiveyear_2050,B,2020,South Africa,-5.684341886080802e-14,1.4210854715202004e-14,-1.4210854715202004e-14,-2.842170943040401e-14,2.842170943040401e-14,-3.470047096733619e-10,1.8463089190845494e-7,-28.95468520802149,1.8463089190845494e-7
fiveyear_2050,B,2025,Australia_Oceania,-2.8421709430404007e-13,1.1368683772161603e-13,2.2737367544323206e-13,2.2737367544323206e-13,0.0,-1.6573054040236457e-10,3.062723408220336e-9,-31.183587982940413,3.062723408220336e-9
fiveyear_2050,B,2025,China,-1.8189894035458565e-12,-5.684341886080801e-13,-1.6874309949344024e-7,-9.094947017729282e-13,-9.094947017729282e-13,-3.7141489883651957e-10,1.552825779072009e-7,-421.4563059782837,1.6874309949344024e-7
fiveyear_2050,B,2025,Japan,-6.821210263296962e-13,-3.410605131648481e-13,-2.2737367544323206e-13,-9.094947017729282e-13,2.2737367544323206e-13,-2.4126478592734202e-11,1.0976236808346584e-8,-6.443694854242664,1.0976236808346584e-8
fiveyear_2050,B,2025,South Korea,4.547473508864641e-13,1.7053025658242404e-13,2.2737367544323206e-13,0.0,2.2737367544323206e-13,1.035580510233558e-10,1.1835140867333394e-8,-159.28775048622288,1.1835140867333394e-8
fiveyear_2050,B,2025,Rest of World,-7.105427357601002e-15,2.6645352591003757e-15,-7.105427357601002e-15,3.552713678800501e-14,-7.105427357601002e-15,-6.8481823872390106e-12,1.936143689817982e-9,-6.2032122280852855,1.936143689817982e-9
fiveyear_2050,B,2025,Southeast Asia,-2.2737367544323206e-13,8.171241461241152e-14,-2.2737367544323206e-13,-4.547473508864641e-13,-2.2737367544323206e-13,-2.233342399904359e-10,3.9883616409497336e-9,-46.65626740873011,3.9883616409497336e-9
fiveyear_2050,B,2025,"Central, Western and South Asia",-1.3642420526593924e-12,-2.2737367544323206e-13,0.0,0.0,0.0,1.0419398677186109e-10,-6.198206392582506e-10,12.643992193623268,6.198206392582506e-10
fiveyear_2050,B,2025,India,-2.2737367544323206e-13,4.263256414560601e-14,0.0,0.0,0.0,4.4760867150577515e-11,5.111246537126135e-8,163.12730119612667,5.111246537126135e-8
fiveyear_2050,B,2025,Canada,2.5579538487363607e-13,2.2737367544323206e-13,-1.1368683772161603e-13,0.0,0.0,7.812417379682302e-12,7.496510079363361e-10,37.73861513312361,7.496510079363361e-10
fiveyear_2050,B,2025,United States,-1.2505552149377763e-12,9.094947017729282e-13,9.094947017729282e-13,-9.094947017729282e-13,-1.8189894035458565e-12,4.233413619658677e-11,-1.747448550304398e-7,742.5938200367258,1.747448550304398e-7
fiveyear_2050,B,2025,Rest of America,-4.547473508864641e-13,-2.842170943040401e-14,-4.547473508864641e-13,-2.2737367544323206e-13,0.0,1.7983836642088136e-11,6.584741640836e-10,-27.717640041287726,6.584741640836e-10
fiveyear_2050,B,2025,Brazil,1.4210854715202004e-13,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,0.0,-1.2021265572661065e-10,1.021760454023024e-9,-38.6163411193312,1.021760454023024e-9
fiveyear_2050,B,2025,"EU, UK and EFTA",-6.59383658785373e-12,1.8189894035458565e-12,9.094947017729282e-13,9.094947017729282e-13,-3.637978807091713e-12,3.370814738445915e-11,4.6329660108312964e-9,-186.23387720258836,4.6329660108312964e-9
fiveyear_2050,B,2025,Eastern Europe,-1.0658141036401503e-13,-2.842170943040401e-14,0.0,-4.263256414560601e-14,-5.684341886080802e-14,-7.083000852503574e-12,1.8130208445654716e-10,25.45201041825383,1.8130208445654716e-10
fiveyear_2050,B,2025,Russia,-3.410605131648481e-13,-6.750155989720952e-14,-2.2737367544323206e-13,1.1368683772161603e-13,0.0,-1.3235231549141884e-11,5.082938514533453e-10,-142.12720504694087,5.082938514533453e-10
fiveyear_2050,B,2025,North Africa,-2.5579538487363607e-13,-1.4654943925052066e-14,2.842170943040401e-14,-1.1368683772161603e-13,5.684341886080802e-14,-1.1121890047986737e-10,1.5076295767357806e-9,48.89596455119807,1.5076295767357806e-9
fiveyear_2050,B,2025,Sub Saharan,-1.7053025658242404e-13,1.7763568394002505e-14,2.8421709430404007e-13,-1.1368683772161603e-13,1.1368683772161603e-13,-1.5754457490317346e-13,-4.061121217091568e-9,64.9591646647352,4.061121217091568e-9
fiveyear_2050,B,2025,South Africa,2.842170943040401e-14,2.1316282072803006e-14,-2.842170943040401e-14,-5.684341886080802e-14,0.0,-3.080160404499998e-14,-3.291376060587936e-10,-29.484985845130584,3.291376060587936e-10
fiveyear_2050,B,2030,Australia_Oceania,-2.8421709430404007e-13,0.0,-2.2737367544323206e-13,0.0,0.0,-2.4520829811081057e-11,-5.452989171317313e-9,-33.016117435630846,5.452989171317313e-9
fiveyear_2050,B,2030,China,-9.094947017729282e-13,6.821210263296962e-13,0.0,-9.094947017729282e-13,9.094947017729282e-13,-2.300367896168609e-9,-2.812403181451373e-7,-526.4617027308478,2.812403181451373e-7
fiveyear_2050,B,2030,Japan,1.8189894035458565e-12,-1.1368683772161603e-13,2.2737367544323206e-13,0.0,-4.547473508864641e-13,-1.5928591778902046e-10,5.353967935661785e-9,-6.667107037601094,5.353967935661785e-9
fiveyear_2050,B,2030,South Korea,0.0,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,1.1095124818893964e-11,2.5247572921216488e-9,-177.23064312131322,2.5247572921216488e-9
fiveyear_2050,B,2030,Rest of World,-7.105427357601002e-15,1.7763568394002505e-15,-1.4210854715202004e-14,0.0,0.0,-1.060078916873513e-18,-7.951896918712009e-10,-6.988478037015903,7.951896918712009e-10
fiveyear_2050,B,2030,Southeast Asia,-2.2737367544323206e-13,2.7711166694643907e-13,0.0,0.0,-2.2737367544323206e-13,5.222489107836736e-13,1.6643753042444587e-10,-57.13709471625482,1.6643753042444587e-10
fiveyear_2050,B,2030,"Central, Western and South Asia",4.547473508864641e-13,-1.1368683772161603e-13,4.547473508864641e-13,0.0,2.2737367544323206e-13,-5.782307965773725e-11,-1.687112671788782e-10,14.829554176016126,1.687112671788782e-10
fiveyear_2050,B,2030,India,-1.1368683772161603e-12,-2.1316282072803006e-14,2.2737367544323206e-13,-2.2737367544323206e-13,2.2737367544323206e-13,-3.398059459108887e-10,-6.3203060562955216e-9,223.25310555467584,6.3203060562955216e-9
fiveyear_2050,B,2030,Canada,7.105427357601002e-13,1.7053025658242404e-13,-2.2737367544323206e-13,1.1368683772161603e-13,1.1368683772161603e-13,3.161026995712746e-11,2.1848222786502447e-8,41.33401564151006,2.1848222786502447e-8
fiveyear_2050,B,2030,United States,1.3216094885137863e-12,0.0,-1.8189894035458565e-12,0.0,0.0,8.526512829121202e-13,-2.4401379050686955e-7,822.0785803303459,2.4401379050686955e-7
fiveyear_2050,B,2030,Rest of America,-2.2737367544323206e-13,-1.7053025658242404e-13,2.2737367544323206e-13,4.547473508864641e-13,2.2737367544323206e-13,-6.465938895416912e-13,-4.2018655221909285e-10,-30.467613425493276,4.2018655221909285e-10
fiveyear_2050,B,2030,Brazil,3.979039320256561e-13,-1.1368683772161603e-13,2.2737367544323206e-13,0.0,-1.1368683772161603e-13,-1.2945750054827281e-11,8.797087502898648e-10,-42.72087218466595,8.797087502898648e-10
