year,source_year,region,technology,baseline_tfp,cf_tfp,tfp_multiplier,alpha,mapping_status,countries
2022,2022,Brazil,pv,2.533721646748351,1.918689785531598,0.757261472661745,1.0,observed_capacity_weighted,BRA
2022,2022,"EU, UK and EFTA",pv,1.3025568730356452,1.0813747107214522,0.8301938541856358,1.0,observed_capacity_weighted,"DEU,ESP,FRA,ITA"
2022,2022,Eastern Europe,pv,1.7701891530347975,1.7701891530347975,1.0,1.0,uncovered_neutral_legacy_reference,
2022,2022,Russia,pv,1.7701891530347975,1.7701891530347975,1.0,1.0,uncovered_neutral_legacy_reference,
2022,2022,North Africa,pv,1.7701891530347975,1.7701891530347975,1.0,1.0,uncovered_neutral_legacy_reference,
2022,2022,Sub Saharan,pv,1.7701891530347975,1.7701891530347975,1.0,1.0,uncovered_neutral_legacy_reference,
2022,2022,South Africa,pv,1.7701891530347975,1.7701891530347975,1.0,1.0,uncovered_neutral_legacy_reference,
2023,2023,Australia_Oceania,pv,2.3180432436737877,1.6840858669173353,0.72651184205187,1.0,observed_capacity_weighted,AUS
2023,2023,China,pv,2.005165113831111,2.005165113831111,1.0,1.0,China_no_inward_shock,CHN
2023,2023,Japan,pv,1.370963146122589,1.1918440435934592,0.8693479813547713,1.0,observed_capacity_weighted,JPN
2023,2023,South Korea,pv,1.5259443216519932,1.1998776292072029,0.7863180931190272,1.0,observed_capacity_weighted,KOR
2023,2023,Rest of World,pv,1.9769721726368048,1.9769721726368048,1.0,1.0,uncovered_neutral_legacy_reference,
2023,2023,Southeast Asia,pv,1.9769721726368048,1.9769721726368048,1.0,1.0,uncovered_neutral_legacy_reference,
2023,2023,"Central, Western and South Asia",pv,1.9769721726368048,1.9769721726368048,1.0,1.0,uncovered_neutral_legacy_reference,
2023,2023,India,pv,1.8239641014285464,1.3816465028995322,0.7574965438285837,1.0,observed_capacity_weighted,IND
2023,2023,Canada,pv,1.9769721726368048,1.9769721726368048,1.0,1.0,uncovered_neutral_legacy_reference,
2023,2023,United States,pv,1.964759544443047,1.5719444196690049,0.8000696187556152,1.0,observed_capacity_weighted,USA
2023,2023,Rest of America,pv,1.9769721726368048,1.9769721726368048,1.0,1.0,uncovered_neutral_legacy_reference,
2023,2023,Brazil,pv,2.6534294029406844,1.8141629342357006,0.6837049940824278,1.0,observed_capacity_weighted,BRA
2023,2023,"EU, UK and EFTA",pv,1.6421060130101008,1.2980653995444544,0.7904881836252492,1.0,observed_capacity_weighted,"DEU,ESP,FRA,ITA"
2023,2023,Eastern Europe,pv,1.9769721726368048,1.9769721726368048,1.0,1.0,uncovered_neutral_legacy_reference,
2023,2023,Russia,pv,1.9769721726368048,1.9769721726368048,1.0,1.0,uncovered_neutral_legacy_reference,
2023,2023,North Africa,pv,1.9769721726368048,1.9769721726368048,1.0,1.0,uncovered_neutral_legacy_reference,
2023,2023,Sub Saharan,pv,1.9769721726368048,1.9769721726368048,1.0,1.0,uncovered_neutral_legacy_reference,
2023,2023,South Africa,pv,1.9769721726368048,1.9769721726368048,1.0,1.0,uncovered_neutral_legacy_reference,
2024,2024,Australia_Oceania,pv,2.485705130808591,1.70235260945865,0.6848570203919887,1.0,observed_capacity_weighted,AUS
2024,2024,China,pv,2.333049287331037,2.333049287331037,1.0,1.0,China_no_inward_shock,CHN
2024,2024,Japan,pv,1.3771219152143344,1.1966607056986427,0.8689577099006482,1.0,observed_capacity_weighted,JPN
2024,2024,South Korea,pv,1.491888366895367,1.138187151214865,0.7629171032303459,1.0,observed_capacity_weighted,KOR
2024,2024,Rest of World,pv,2.2296602318774736,2.2296602318774736,1.0,1.0,uncovered_neutral_legacy_reference,
2024,2024,Southeast Asia,pv,2.2296602318774736,2.2296602318774736,1.0,1.0,uncovered_neutral_legacy_reference,
2024,2024,"Central, Western and South Asia",pv,2.2296602318774736,2.2296602318774736,1.0,1.0,uncovered_neutral_legacy_reference,
2024,2024,India,pv,2.529539079676918,1.7548882612412817,0.6937581140139659,1.0,observed_capacity_weighted,IND
2024,2024,Canada,pv,2.2296602318774736,2.2296602318774736,1.0,1.0,uncovered_neutral_legacy_reference,
2024,2024,United States,pv,2.1077009742595814,1.6090009285166567,0.7633914621507853,1.0,observed_capacity_weighted,USA
2024,2024,Rest of America,pv,2.2296602318774736,2.2296602318774736,1.0,1.0,uncovered_neutral_legacy_reference,
2024,2024,Brazil,pv,2.726376422247391,1.7022508816623163,0.6243638507771156,1.0,observed_capacity_weighted,BRA
2024,2024,"EU, UK and EFTA",pv,1.8036373826295382,1.3745731643605783,0.7621117069311218,1.0,observed_capacity_weighted,"DEU,ESP,FRA,ITA"
2024,2024,Eastern Europe,pv,2.2296602318774736,2.2296602318774736,1.0,1.0,uncovered_neutral_legacy_reference,
2024,2024,Russia,pv,2.2296602318774736,2.2296602318774736,1.0,1.0,uncovered_neutral_legacy_reference,
2024,2024,North Africa,pv,2.2296602318774736,2.2296602318774736,1.0,1.0,uncovered_neutral_legacy_reference,
2024,2024,Sub Saharan,pv,2.2296602318774736,2.2296602318774736,1.0,1.0,uncovered_neutral_legacy_reference,
2024,2024,South Africa,pv,2.2296602318774736,2.2296602318774736,1.0,1.0,uncovered_neutral_legacy_reference,
2025,2024,Australia_Oceania,pv,2.485705130808591,1.70235260945865,0.6848570203919887,1.0,observed_capacity_weighted,AUS
2025,2024,China,pv,2.333049287331037,2.333049287331037,1.0,1.0,China_no_inward_shock,CHN
2025,2024,Japan,pv,1.3771219152143344,1.1966607056986427,0.8689577099006482,1.0,observed_capacity_weighted,JPN
2025,2024,South Korea,pv,1.491888366895367,1.138187151214865,0.7629171032303459,1.0,observed_capacity_weighted,KOR
2025,2024,Rest of World,pv,2.525219108342481,2.525219108342481,1.0,1.0,uncovered_neutral_legacy_reference,
2025,2024,Southeast Asia,pv,2.525219108342481,2.525219108342481,1.0,1.0,uncovered_neutral_legacy_reference,
2025,2024,"Central, Western and South Asia",pv,2.525219108342481,2.525219108342481,1.0,1.0,uncovered_neutral_legacy_reference,
2025,2024,India,pv,2.529539079676918,1.7548882612412817,0.6937581140139659,1.0,observed_capacity_weighted,IND
2025,2024,Canada,pv,2.525219108342481,2.525219108342481,1.0,1.0,uncovered_neutral_legacy_reference,
2025,2024,United States,pv,2.1077009742595814,1.6090009285166567,0.7633914621507853,1.0,observed_capacity_weighted,USA
2025,2024,Rest of America,pv,2.525219108342481,2.525219108342481,1.0,1.0,uncovered_neutral_legacy_reference,
2025,2024,Brazil,pv,2.726376422247391,1.7022508816623163,0.6243638507771156,1.0,observed_capacity_weighted,BRA
2025,2024,"EU, UK and EFTA",pv,1.8036373826295382,1.3745731643605783,0.7621117069311218,1.0,observed_capacity_weighted,"DEU,ESP,FRA,ITA"
