year,target,target_name,iso3,country_name,excluded_target_receiver,TIC,X,B,Q_global,Q_cf,Q_ratio,beta_B,p_beta_B,B_fitted,B_cf,B_deployment_gap,B_cf_fitted,B_fitted_gap,X_cf,equipment_gap_inclusive,equipment_gap_target_origin,equipment_gap_other_origins,TIC_cf,total_deployment_gap,deployment_gap_pct_of_TIC,balance_gap_pct_of_TIC,cf_Q_below_balance_fit_range,annual_cost_interpolated,tfp_start_year,technology,region,alpha,cost_actual,cost_cf,annual_cost_reduction_actual,tfp_growth_factor_actual,tfp_growth_rate_actual,tfp_raw_actual,annual_cost_reduction_cf,tfp_growth_factor_cf,tfp_growth_rate_cf,tfp_raw_cf,tfp_actual,tfp_cf,tfp_multiplier,capacity_weight_MW,B_cf_fixed,TIC_cf_equipment_only,scenario_scope
2021,CHN,中国,AUS,Australia,False,1162.047123041291,371.1039026661066,790.9432203751838,854.92824,549.2222399999999,0.6424191111057461,-0.6311445523247294,8.560495725769456e-08,947.8416555023392,1045.7783454429525,254.83512506776844,1253.2281113212578,305.38645581891865,437.045186605721,65.94128393961441,63.9622298998425,1.9790540397719096,1482.823532048673,320.7764090073829,27.604423490835053,21.929844325143907,False,False,2010,pv,Australia_Oceania,1.0,1162.047123041291,1482.823532048673,0.06890663413870723,1.0740061487549815,0.07400614875498146,7.078892537609542,0.07585134534172433,1.0820769959025391,0.08207699590253914,5.591538752347009,2.0192199059134404,1.5949594224576498,0.7898889159059341,24393.62,,,
2022,CHN,中国,AUS,Australia,False,979.5214615557925,353.86640981108286,625.6550517447099,1045.85862,654.1026199999999,0.625421646378934,-0.6311445523247294,8.560495725769456e-08,834.6094605210275,841.3550658505889,215.70001410587892,1122.3483222232785,287.7388617022508,421.17786097819527,67.3114511671124,66.45602707979211,0.8554240873202872,1262.5329268287842,283.01146527299136,28.892829445868276,22.020958454884536,False,False,2010,pv,Australia_Oceania,1.0,979.5214615557925,1262.5329268287842,0.15707251269448974,1.1863416664659796,0.1863416664659796,8.397985169801292,0.14856157894630573,1.1744830574622813,0.17448305746228132,6.567167529775345,2.3954847081426296,1.8732528190163351,0.781993227779269,28884.09,,,
2023,CHN,中国,AUS,Australia,False,1012.2454310798986,224.51838178014492,787.7270492997534,1408.5874199999998,799.9514199999999,0.5679103821614423,-0.6311445523247294,8.560495725769456e-08,691.6230844303054,1125.7986385809795,338.0715892812261,988.4493969770036,296.8263125466983,278.5498039435697,54.03142216342479,53.927917124915325,0.1035050385094606,1404.3484425245488,392.1030114446509,38.735962584325215,33.39818377056636,False,False,2010,pv,Australia_Oceania,1.0,1012.2454310798986,1404.3484425245488,-0.03340811897284013,0.9676719019722371,-0.03232809802776293,8.126494281996257,-0.1123261918023597,0.8990168597753221,-0.10098314022467791,5.903994330237089,2.3180432436737877,1.6840858669173353,0.72651184205187,30671.94,,,
2024,CHN,中国,AUS,Australia,False,943.9690385525073,129.51154301459246,814.4574955379147,1864.01976,978.62376,0.5250071812543446,-0.6311445523247294,8.560495725769456e-08,579.5357096998207,1223.1637630915209,408.70626755360615,870.3549091339274,290.81919943410674,166.11560896233908,36.60406594774663,36.54301139366014,0.061054554086489,1389.2793720538605,445.3103335013528,47.17425204794817,43.296575508485,False,False,2010,pv,Australia_Oceania,1.0,943.9690385525073,1389.2793720538605,0.06745043290000496,1.0723290592582222,0.0723290592582222,8.714275968480369,0.010730293148329406,1.0108466812174794,0.010846681217479448,5.968033074646977,2.485705130808591,1.70235260945865,0.6848570203919887,35994.94,,,
2011,CHN,中国,BRA,Brazil,False,7522.515553575559,2145.844033503492,5376.671520072062,70.26885,67.62285,0.962344623542295,-0.8431480181598846,2.476187582861964e-06,6316.597124754594,5553.518919741047,176.84739966898542,6524.360193801905,207.76306904731064,2166.98262361216,21.138590108667834,12.37800912470991,8.760580983957924,7720.501543353204,197.9859897776533,2.631912002940929,2.350907730392494,True,False,2011,pv,Brazil,1.0,7522.515553575559,7720.501543353204,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.26255670349807747,0.26255670349807747,1.0,7.46,,,
2012,,,BRA,Brazil,,6204.420863082232,,,,,,,,,,,,,,,,,6603.255526208801,,,,,True,2011,pv,Brazil,1.0,6204.420863082232,6603.255526208801,0.17521993555291726,1.2124444359241169,0.21244443592411688,1.2124444359241169,0.1447115852345463,1.1691962415675077,0.16919624156750768,1.1691962415675077,0.3183354142708221,0.30698031092830663,0.9643297514713358,8.47,,,
2013,CHN,中国,BRA,Brazil,False,5117.2826393097785,1076.954010248577,4040.328629061206,134.44763,117.28163,0.8723220334936361,-0.8431480181598846,2.476187582861964e-06,3655.0409002931688,4533.51329588204,493.1846668208336,4101.195234290117,446.154333996948,1114.1746554202969,37.22064517171965,19.93045306871409,17.29019210300556,5647.687951302337,530.4053119925533,10.364979802329117,9.637628045640923,False,False,2011,pv,Brazil,1.0,5117.2826393097785,5647.687951302337,0.17521993555291882,1.212444435924119,0.2124444359241191,1.4700215102033527,0.14471158523454786,1.1691962415675097,0.16919624156750968,1.367019851295588,0.3859640017902577,0.35892022577260163,0.9299318695727683,9.4,,,
2014,CHN,中国,BRA,Brazil,False,6068.722799156146,1009.59774214922,5059.125057006921,172.65223999999998,144.88624,0.8391796133082317,-0.8431480181598846,2.476187582861964e-06,2960.126634866061,5865.121107773646,805.9960507667247,3431.720112115061,471.593477249,1053.398770116396,43.80102796717586,24.26199891198233,19.53902905519353,6918.519877890046,849.7970787339005,14.00289825154092,13.281147902797583,False,False,2011,pv,Brazil,1.0,6068.722799156146,6918.519877890046,-0.18592683400710075,0.8432223399660527,-0.15677766003394733,1.2395549776341017,-0.2250180848420742,0.816314479250253,-0.18368552074974698,1.1159180980351162,0.32545346873224285,0.29299177719394454,0.9002570423822853,22.01,,,
2015,CHN,中国,BRA,Brazil,False,2497.6589764116234,821.9244308268553,1675.7345455847685,219.86211,176.96611,0.8048958958867447,-0.8431480181598846,2.476187582861964e-06,2414.3384512008897,2012.243795747312,336.5092501625436,2899.1689537365373,484.8305025356476,871.8877816980463,49.963350871191,34.942843088229274,15.020507782961722,2884.1315774453574,386.4726010337346,15.473393472994386,13.472986237937295,False,False,2011,pv,Brazil,1.0,2497.6589764116234,2884.1315774453574,0.5884374589066876,2.429764373947902,1.429764373947902,3.0118265242051288,0.5831288153608751,2.398822554419719,1.398822554419719,2.676889502451792,0.7907752437033712,0.7028352833923511,0.8887927245936807,45.87,,,
2016,CHN,中国,BRA,Brazil,False,2460.592802823451,568.3766487495775,1892.2161540738728,291.30835,214.17235,0.735208414039625,-0.8431480181598846,2.476187582861964e-06,1904.422571565128,2452.485759955849,560.2696058819768,2468.3063970500457,563.8838254849181,634.8995078638609,66.52285911428338,61.36103926123635,5.161819853047028,3087.385267819709,626.7924649962602,25.473230039404974,22.76970026243617,False,False,2011,pv,Brazil,1.0,2460.592802823451,3087.385267819709,0.014840366094103441,1.0150639201844531,0.015063920184453128,3.0571964385751738,-0.07047309906519073,0.934166398831757,-0.065833601168243,2.500660226575924,0.8026874188583603,0.6565651056585301,0.8179586352460142,131.13,,,
